file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_2883_size_11_cutoff_10.0.cm.dat,15558877748844185729,5,5,0.000345773,9,0.000261397
cost_matrix_component_nr_1778_size_26_cutoff_10.0.cm.dat,13873211224162308483,9,9,0.007773656,25,0.006475816
cost_matrix_component_nr_351_size_15_cutoff_10.0.cm.dat,14439424303782736745,6,6,0.001728812,13,0.00129315
cost_matrix_component_nr_1334_size_41_cutoff_10.0.cm.dat,7648249748522131149,14,14,0.028121744,53,0.02436655
cost_matrix_component_nr_3074_size_8_cutoff_10.0.cm.dat,7092992233103148651,3,4,0.000201877,5,0.000142086
cost_matrix_component_nr_659_size_32_cutoff_10.0.cm.dat,1302898350969323712,11,12,0.032508921,241,0.030153474
cost_matrix_component_nr_1592_size_16_cutoff_10.0.cm.dat,11267952350570478648,5,5,0.000700444,5,0.000578882
cost_matrix_component_nr_1671_size_25_cutoff_10.0.cm.dat,1119887881309015397,6,6,0.003200547,7,0.002678536
cost_matrix_component_nr_3664_size_9_cutoff_10.0.cm.dat,8482024126652701997,3,3,0.000246401,3,0.000171208
cost_matrix_component_nr_468_size_37_cutoff_10.0.cm.dat,6678827708732923333,14,14,0.025789654,81,0.023091349
cost_matrix_component_nr_1423_size_24_cutoff_10.0.cm.dat,3131395728932672139,3,3,0.000959738,3,0.000761031
cost_matrix_component_nr_1084_size_26_cutoff_10.0.cm.dat,18129199451663233559,7,7,0.006420769,13,0.005484193
cost_matrix_component_nr_1012_size_37_cutoff_10.0.cm.dat,5131824545290467570,9,9,0.013877369,13,0.01058314
cost_matrix_component_nr_2061_size_11_cutoff_10.0.cm.dat,15112441129694009168,4,4,0.000364724,3,0.000267972
cost_matrix_component_nr_1459_size_12_cutoff_10.0.cm.dat,8956133278591320007,3,3,0.000284478,3,0.000192098
cost_matrix_component_nr_1725_size_34_cutoff_10.0.cm.dat,7593814086143891949,17,18,0.052248927,237,0.044750566
cost_matrix_component_nr_167_size_64_cutoff_10.0.cm.dat,6580858214166554838,14,14,0.134667271,51,0.119642739
cost_matrix_component_nr_458_size_24_cutoff_10.0.cm.dat,9695567135951038033,8,8,0.004768262,15,0.003832737
cost_matrix_component_nr_131_size_18_cutoff_10.0.cm.dat,6132193210694745509,6,6,0.001794098,5,0.001256057
cost_matrix_component_nr_2325_size_12_cutoff_10.0.cm.dat,9114448375432403782,4,4,0.000481916,3,0.000359456
cost_matrix_component_nr_1505_size_26_cutoff_10.0.cm.dat,9012289334593731533,8,8,0.00603858,15,0.004925558
cost_matrix_component_nr_3312_size_16_cutoff_10.0.cm.dat,2960607224133416506,5,5,0.000542009,5,0.000429118
cost_matrix_component_nr_668_size_56_cutoff_10.0.cm.dat,9039275517823839864,13,13,0.057560066,57,0.049938299
cost_matrix_component_nr_1410_size_68_cutoff_10.0.cm.dat,9353651717662921474,8,8,0.025829516,15,0.021678815
