file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_385_size_217_cutoff_10.0.cm.dat,11436238788701019916,87,87,45093.847848477,4570381,44101.565901695
cost_matrix_component_nr_789_size_150_cutoff_10.0.cm.dat,1384015223372370454,94,96,69984.767806805,36261777,67362.990943194
cost_matrix_component_nr_209_size_160_cutoff_10.0.cm.dat,256344190676613669,56,58,112385.162284646,69918283,110293.030568357
cost_matrix_component_nr_123_size_148_cutoff_10.0.cm.dat,14401384027680921777,72,74,163859.405074571,64041167,158588.131642408
cost_matrix_component_nr_43_size_345_cutoff_10.0.cm.dat,14343373078319719828,104,105,171653.268384312,4520973,167457.933261898
cost_matrix_component_nr_92_size_194_cutoff_10.0.cm.dat,10292038961212174695,66,66,222999.938481457,27503137,219336.315876382
cost_matrix_component_nr_74_size_223_cutoff_10.0.cm.dat,8665857416486391413,105,111,522840.522527907,39129927,504975.078458882
