file_name,seed,hs_size,greedy_size,solve_time,iterations,reduction_time
cost_matrix_component_nr_7_size_187_cutoff_10.0.cm.dat,12486665973646142802,35,35,79.716821653,2383,77.338595034
cost_matrix_component_nr_593_size_157_cutoff_10.0.cm.dat,14628588842063103598,75,75,7019.108483712,681103,6619.732751407
cost_matrix_component_nr_1566_size_67_cutoff_10.0.cm.dat,2834834610248621200,34,41,6.708387175,15919,6.384204135
cost_matrix_component_nr_673_size_53_cutoff_10.0.cm.dat,18023465564302356372,25,28,2.170831832,4381,2.000975823
p7_32000.dat,11529672676772240116,7,7,3751.97635056,2066293,3480.234956772
cost_matrix_component_nr_1059_size_55_cutoff_10.0.cm.dat,17670775642515540986,24,26,1.191667674,4361,1.130504535
cost_matrix_component_nr_1209_size_195_cutoff_10.0.cm.dat,8009975155308443688,34,34,152.470616989,19739,149.58254541
p8_8000.dat,18040852074454780521,5,5,180.031732228,29189,173.791844494
p6_16000.dat,10017206121548049200,8,9,5813.357342121,9990159,5151.192173722
cost_matrix_component_nr_96_size_139_cutoff_10.0.cm.dat,3145666820154346466,60,60,127.156412776,16493,119.964400445
cost_matrix_component_nr_100_size_49_cutoff_10.0.cm.dat,1314160870109700393,27,30,1.212794162,3655,1.102416634
cost_matrix_component_nr_495_size_62_cutoff_10.0.cm.dat,6900754030645442672,32,34,5.3584958910000005,6031,4.978975928
cost_matrix_component_nr_1204_size_60_cutoff_10.0.cm.dat,12989847208086994601,24,24,3.654090277,5045,3.46628069
cost_matrix_component_nr_1310_size_104_cutoff_10.0.cm.dat,1600002779559710228,27,27,0.631186264,403,0.610775398
cost_matrix_component_nr_837_size_122_cutoff_10.0.cm.dat,12000880407340106320,47,47,16.06141434,2499,14.513875175999999
cost_matrix_component_nr_501_size_129_cutoff_10.0.cm.dat,4175217408896839986,40,40,20.000202545,1279,18.182693028
p7_8000.dat,18441877891357177738,6,6,414.537317744,268313,383.080720987
p9_16000.dat,17683211831631366207,4,4,163.093414293,2083,160.86718261
cost_matrix_component_nr_715_size_61_cutoff_10.0.cm.dat,10090481726335732107,29,30,1.7914928589999999,1911,1.643541515
cost_matrix_component_nr_1680_size_60_cutoff_10.0.cm.dat,7477861055201424550,30,32,2.437152539,2983,2.207509195
cost_matrix_component_nr_267_size_105_cutoff_10.0.cm.dat,16761242255011986077,37,37,23.637939951,4653,21.95896276
cost_matrix_component_nr_796_size_139_cutoff_10.0.cm.dat,2676679079386306408,65,65,7752.576487347,2022357,7366.939718934
cost_matrix_component_nr_716_size_124_cutoff_10.0.cm.dat,12092026030949925008,47,47,16.87304471,3005,15.532095183
cost_matrix_component_nr_694_size_107_cutoff_10.0.cm.dat,14152210130456313940,37,37,210.526297156,67009,204.020222417
cost_matrix_component_nr_1680_size_60_cutoff_10.0.cm.dat,18283823788381802200,30,32,2.368005207,3807,2.155680458
cost_matrix_component_nr_228_size_117_cutoff_10.0.cm.dat,15952865225199043136,56,57,2192.926056107,1087129,2058.969362021
cost_matrix_component_nr_796_size_139_cutoff_10.0.cm.dat,17967030729756338280,65,65,5900.065383145,1528787,5590.158186639
cost_matrix_component_nr_1057_size_87_cutoff_10.0.cm.dat,11380407711665038090,36,36,113.053419917,77845,106.976181331
cost_matrix_component_nr_228_size_117_cutoff_10.0.cm.dat,11205219994883399228,56,57,1543.771587518,845629,1443.836330432
cost_matrix_component_nr_1209_size_195_cutoff_10.0.cm.dat,6904818519922975119,34,34,159.211034785,25067,155.691525764
cost_matrix_component_nr_588_size_79_cutoff_10.0.cm.dat,12164719385686812186,23,23,2.617006018,1791,2.498061343
cost_matrix_component_nr_1793_size_50_cutoff_10.0.cm.dat,4333001738219117231,26,26,0.621031586,987,0.563932788
cost_matrix_component_nr_473_size_73_cutoff_10.0.cm.dat,11399573717257738089,33,35,8.340637095,5851,7.767704788
cost_matrix_component_nr_177_size_97_cutoff_10.0.cm.dat,759712412400250964,43,43,74.55660723,31411,71.508774814
cost_matrix_component_nr_595_size_121_cutoff_10.0.cm.dat,2416539031500531960,50,50,59.577268523,13363,56.07128068
p8_20000.dat,4654688050047701335,5,5,651.989892542,27317,636.573495349
cost_matrix_component_nr_175_size_107_cutoff_10.0.cm.dat,11038665559260940892,40,42,345.335239209,271127,333.006444506
cost_matrix_component_nr_78_size_134_cutoff_10.0.cm.dat,3659252966029464739,46,46,23.342589213,2337,21.298454651
cost_matrix_component_nr_1202_size_102_cutoff_10.0.cm.dat,10181533430704617846,43,43,164.170671189,39711,155.307862216
cost_matrix_component_nr_13_size_65_cutoff_10.0.cm.dat,7419932985219370816,31,31,2.022737066,1565,1.856468602
cost_matrix_component_nr_267_size_105_cutoff_10.0.cm.dat,6626933110923278103,37,37,26.516048902,4361,24.779756649
cost_matrix_component_nr_505_size_121_cutoff_10.0.cm.dat,13009638039651999858,71,71,5670.195601967,2048889,5367.520424437
cost_matrix_component_nr_1566_size_67_cutoff_10.0.cm.dat,7912165011545036734,34,41,19.666070891,28985,18.553367084
cost_matrix_component_nr_115_size_79_cutoff_10.0.cm.dat,649471190427242458,32,32,4.774645303,1605,4.410251359
cost_matrix_component_nr_577_size_89_cutoff_10.0.cm.dat,3387633994546220057,27,29,2.486600831,693,2.341367044
cost_matrix_component_nr_664_size_87_cutoff_10.0.cm.dat,13510323712665348411,36,36,33.557234564,24973,31.822004484
cost_matrix_component_nr_1895_size_61_cutoff_10.0.cm.dat,7280680665573575189,27,27,2.783722307,3523,2.584016927
cost_matrix_component_nr_966_size_47_cutoff_10.0.cm.dat,967681752365654820,25,28,0.659290381,2213,0.610584145
cost_matrix_component_nr_1372_size_82_cutoff_10.0.cm.dat,7023891055990771623,34,36,17.580276025,6357,16.916163987
p7_16000.dat,8259187754416295442,6,7,901.006145427,250977,849.251926246
cost_matrix_component_nr_97_size_116_cutoff_10.0.cm.dat,11747746475713361312,43,43,71.525043491,10081,68.589973223
cost_matrix_component_nr_186_size_78_cutoff_10.0.cm.dat,12433368166446113205,41,41,12.908385653,6841,11.871912967
p9_16000.dat,18081260949620359651,4,4,134.068643872,2087,132.484021227
p8_32000.dat,16527233328568049794,5,6,1370.835622814,30361,1344.405841547
cost_matrix_component_nr_1076_size_75_cutoff_10.0.cm.dat,569737569157495213,30,30,8.930830987,7365,8.444014004
p6_4000.dat,10141233919607029219,6,7,498.748515508,1290935,443.579343424
cost_matrix_component_nr_666_size_146_cutoff_10.0.cm.dat,16266336793947823886,65,68,3385.302218793,475059,3161.605264084
cost_matrix_component_nr_186_size_78_cutoff_10.0.cm.dat,3085209541729663329,41,41,13.839998315,8211,12.863580952
cost_matrix_component_nr_69_size_89_cutoff_10.0.cm.dat,8800040378475350531,35,36,54.65597398,27307,52.9636998
cost_matrix_component_nr_1889_size_63_cutoff_10.0.cm.dat,4848258940987349721,23,25,0.449733183,711,0.425191629
cost_matrix_component_nr_897_size_42_cutoff_10.0.cm.dat,982459390960962963,21,21,0.297228444,741,0.27197565
cost_matrix_component_nr_1010_size_108_cutoff_10.0.cm.dat,8176347481923656567,37,39,159.802398101,238347,156.628331963
cost_matrix_component_nr_113_size_263_cutoff_10.0.cm.dat,8272226718675997701,86,87,1289.549694374,38989,1223.893648595
cost_matrix_component_nr_381_size_132_cutoff_10.0.cm.dat,779390363898913283,28,31,12.789910985,2383,12.162587122
p7_8000.dat,2656873269510258730,6,6,375.469141259,268061,346.550927315
cost_matrix_component_nr_1112_size_78_cutoff_10.0.cm.dat,11247869656373330897,29,29,39.519884293,41571,38.457048553
p95_128000.dat,17742916976998504104,4,4,579.524019642,2131,574.056513342
cost_matrix_component_nr_325_size_62_cutoff_10.0.cm.dat,654775374928597090,24,24,1.511580886,2047,1.438374925
cost_matrix_component_nr_694_size_107_cutoff_10.0.cm.dat,7744915162815296755,37,37,145.630808252,47567,141.574230632
p6_1000.dat,9782830307678846286,5,6,16.49237357,22611,15.057500884
cost_matrix_component_nr_114_size_264_cutoff_10.0.cm.dat,10393082082459805750,87,90,3425.992763481,72593,3242.449273406
cost_matrix_component_nr_1760_size_76_cutoff_10.0.cm.dat,15822972626696454054,28,28,4.973182282,2595,4.7223230449999996
cost_matrix_component_nr_78_size_134_cutoff_10.0.cm.dat,2407357563349813953,46,46,33.602197112,2773,30.880766749
p95_256000.dat,9755185719596649121,4,4,1064.322763466,2095,1056.832628064
cost_matrix_component_nr_117_size_95_cutoff_10.0.cm.dat,8505067707445752691,50,54,306.638608602,184171,288.089536166
cost_matrix_component_nr_481_size_118_cutoff_10.0.cm.dat,11970751506050998118,56,56,46.589328655,10441,43.319174386
tpch_denormalized_r6001216_c52_r100000_c52_UCCs.hg.dat,10909437896630338327,16,18,17.972117881,2259,15.948803175
cost_matrix_component_nr_1678_size_76_cutoff_10.0.cm.dat,11169527044139661990,29,29,4.927953014,2851,4.7422018569999995
